participantId,trialNumber,condition,values,marked,reportedPercent,truePercent,log2Error
004,25,StackedBar,"[94,74,26,52,11,26,55,35,81,53]","[9,0]",60,56,2.0443941193584534
004,26,Bar,"[77,76,18,89,32,37,58,42,56,97]","[5,2]",60,49,3.4757334309663976
004,27,StackedBar,"[71,34,93,3,14,51,79,66,13,78]","[5,9]",70,65,2.357552004618084
004,28,ComparativeBar,"[10,58,39,50,27,42,1,0,64,44]","[8,9]",67,69,1.0874628412503393
004,29,Bar,"[65,9,80,48,1,9,28,51,72,80]","[0,4]",5,2,1.6438561897747246
004,30,Bar,"[84,15,8,60,66,64,17,16,36,40]","[9,0]",45,48,1.6438561897747246
004,31,ComparativeBar,"[32,71,72,94,86,87,19,100,91,95]","[6,7]",20,19,0.16992500144231237
004,32,StackedBar,"[83,89,94,66,6,2,30,42,89,97]","[6,0]",30,36,2.6147098441152083
004,33,Bar,"[88,45,19,21,80,89,99,23,71,24]","[9,8]",30,34,2.0443941193584534
004,34,StackedBar,"[61,81,63,83,24,7,19,77,87,4]","[1,5]",5,9,2.0443941193584534
004,35,ComparativeBar,"[56,96,42,34,42,42,16,61,41,46]","[8,7]",65,67,1.0874628412503393
004,36,ComparativeBar,"[84,71,91,48,17,93,21,86,6,10]","[5,8]",8,6,1.0874628412503393
004,37,Bar,"[44,1,87,24,20,85,5,42,22,56]","[6,5]",7,6,0.16992500144231237
004,38,StackedBar,"[80,88,94,32,51,99,99,1,78,27]","[3,5]",30,32,1.0874628412503393
004,39,ComparativeBar,"[11,66,48,59,95,90,37,39,90,20]","[3,2]",83,81,1.0874628412503393
004,40,Bar,"[29,92,40,37,47,1,78,51,9,90]","[9,6]",82,87,2.357552004618084
004,41,ComparativeBar,"[28,40,31,49,3,67,83,31,1,66]","[1,9]",72,61,3.4757334309663976
004,42,Bar,"[75,32,94,61,0,24,58,2,91,28]","[9,4]",1,0,0.16992500144231237
004,43,ComparativeBar,"[27,6,20,97,50,16,83,15,28,53]","[5,3]",22,16,2.6147098441152083
004,44,StackedBar,"[8,89,51,28,80,22,44,58,41,36]","[0,8]",15,20,2.357552004618084
004,45,Bar,"[40,37,79,48,49,61,20,22,95,69]","[4,3]",48,98,5.647458426454921
004,46,ComparativeBar,"[88,36,57,32,18,32,82,66,100,37]","[9,8]",30,37,2.8328900141647417
004,47,ComparativeBar,"[83,87,45,62,65,55,38,77,61,14]","[6,2]",47,84,5.2143191208007655
004,48,StackedBar,"[54,64,14,74,0,100,79,39,38,38]","[1,2]",25,22,1.6438561897747246
004,49,StackedBar,"[89,34,77,61,61,94,98,51,4,51]","[3,2]",70,79,3.189824558880017
004,50,StackedBar,"[36,74,47,93,15,14,95,66,31,1]","[9,0]",2,3,0.16992500144231237
004,51,Bar,"[1,70,24,42,33,79,47,96,44,42]","[8,4]",45,75,4.912889336229962
004,52,StackedBar,"[52,11,7,26,37,46,18,30,64,88]","[3,4]",40,70,4.912889336229962
004,53,ComparativeBar,"[19,54,61,56,93,52,6,27,30,46]","[6,4]",8,6,1.0874628412503393
004,54,Bar,"[41,27,39,84,12,39,28,8,70,15]","[7,3]",10,10,0
004,55,ComparativeBar,"[28,98,78,50,75,28,69,53,27,93]","[6,7]",70,77,2.8328900141647417
004,56,Bar,"[92,92,15,17,84,4,97,88,8,32]","[6,0]",50,95,5.495855026887171
004,57,StackedBar,"[2,68,66,83,63,77,67,46,2,85]","[9,2]",74,78,2.0443941193584534
004,58,ComparativeBar,"[92,88,45,28,89,16,36,85,10,69]","[4,1]",50,99,5.618385502258606
004,59,StackedBar,"[83,35,9,100,19,13,58,47,53,66]","[9,8]",40,80,5.3264294871223035
004,60,ComparativeBar,"[90,31,78,75,65,26,98,79,82,58]","[0,1]",25,34,3.189824558880017
003,1,Bar,"[49,22,40,9,42,40,71,75,41,36]","[6,5]",60,56,2.0443941193584534
003,2,Bar,"[38,6,29,36,60,67,79,72,29,96]","[2,1]",20,21,0.16992500144231237
003,3,Bar,"[1,4,81,63,100,1,17,47,74,49]","[7,5]",5,2,1.6438561897747246
003,4,Bar,"[25,93,98,43,79,56,51,49,61,31]","[2,8]",55,62,2.8328900141647417
003,5,StackedBar,"[61,69,35,69,60,42,50,71,36,13]","[4,5]",74,70,2.0443941193584534
003,6,Bar,"[16,28,74,23,36,73,39,32,34,83]","[2,9]",80,89,3.189824558880017
003,7,ComparativeBar,"[39,31,65,71,17,57,60,31,66,9]","[7,9]",33,29,2.0443941193584534
003,8,ComparativeBar,"[70,55,32,93,75,42,6,83,11,86]","[6,4]",11,8,1.6438561897747246
003,9,StackedBar,"[67,59,62,39,96,96,36,2,39,73]","[9,6]",50,49,0.16992500144231237
003,10,ComparativeBar,"[46,89,36,98,2,92,1,41,88,6]","[4,2]",6,6,0
003,11,ComparativeBar,"[45,83,47,69,99,91,77,28,92,59]","[0,1]",55,54,0.16992500144231237
003,12,Bar,"[10,53,44,69,79,65,47,39,66,32]","[7,3]",56,57,0.16992500144231237
003,13,StackedBar,"[22,31,5,77,43,98,67,13,64,70]","[8,1]",48,48,0
003,14,StackedBar,"[40,17,47,38,23,82,24,35,18,52]","[6,1]",60,71,3.4757334309663976
003,15,Bar,"[56,42,0,36,72,60,77,51,36,7]","[3,4]",50,50,0
003,16,StackedBar,"[46,58,22,9,93,34,99,70,45,7]","[6,1]",65,59,2.6147098441152083
003,17,Bar,"[99,82,1,37,33,36,48,86,67,62]","[0,8]",75,68,2.8328900141647417
003,18,StackedBar,"[39,98,16,51,13,5,69,79,46,6]","[8,7]",55,58,1.6438561897747246
003,19,ComparativeBar,"[58,91,68,26,50,68,13,73,66,94]","[6,9]",15,14,0.16992500144231237
003,20,ComparativeBar,"[18,54,38,53,62,9,61,99,21,82]","[1,9]",60,66,2.6147098441152083
003,21,ComparativeBar,"[27,97,54,92,48,76,76,14,74,60]","[8,3]",70,80,3.3398500028846247
003,22,StackedBar,"[72,10,42,86,35,33,49,34,36,16]","[4,5]",3,94,6.509775004326937
003,23,Bar,"[86,40,19,96,23,46,49,62,71,41]","[7,5]",66,74,3.0223678130284544
003,24,Bar,"[18,93,46,10,59,44,100,57,57,98]","[4,5]",70,75,2.357552004618084
003,25,Bar,"[33,79,78,28,73,28,51,9,98,0]","[0,2]",28,42,3.820178962415188
003,26,Bar,"[69,27,71,66,92,33,79,66,61,82]","[2,3]",95,93,1.0874628412503393
003,27,ComparativeBar,"[25,46,39,6,11,6,1,17,25,79]","[3,6]",20,17,1.6438561897747246
003,28,StackedBar,"[48,83,47,0,76,84,56,90,90,88]","[6,1]",55,67,3.599912842187128
003,29,StackedBar,"[53,84,75,54,7,85,32,9,31,20]","[4,8]",25,23,1.0874628412503393
003,30,ComparativeBar,"[88,65,63,21,66,2,33,100,68,55]","[0,4]",70,75,2.357552004618084
003,31,StackedBar,"[60,20,10,30,54,86,38,77,91,55]","[7,3]",45,39,2.6147098441152083
003,32,StackedBar,"[22,87,41,95,79,42,7,13,83,84]","[3,6]",9,7,1.0874628412503393
003,33,ComparativeBar,"[10,55,18,33,37,77,53,43,1,28]","[4,6]",60,70,3.3398500028846247
003,34,ComparativeBar,"[89,48,9,89,22,8,46,30,15,55]","[1,7]",60,63,1.6438561897747246
003,35,ComparativeBar,"[42,82,33,31,98,32,47,96,47,3]","[9,2]",13,9,2.0443941193584534
003,36,ComparativeBar,"[0,5,93,55,50,56,73,17,37,65]","[8,6]",50,51,0.16992500144231237
003,37,Bar,"[79,9,93,71,80,68,15,17,9,50]","[0,2]",80,85,2.357552004618084
003,38,Bar,"[19,46,83,96,83,50,12,54,77,19]","[5,6]",20,24,2.0443941193584534
003,39,ComparativeBar,"[22,51,30,44,39,11,38,2,72,2]","[7,2]",7,7,0
003,40,StackedBar,"[53,3,35,57,72,77,15,18,77,47]","[7,5]",25,23,1.0874628412503393
003,41,Bar,"[47,42,65,86,61,98,69,95,27,97]","[7,9]",98,98,0
003,42,ComparativeBar,"[84,46,70,99,86,61,18,66,37,32]","[2,5]",89,87,1.0874628412503393
003,43,ComparativeBar,"[1,100,4,30,97,85,99,42,42,24]","[0,6]",2,1,0.16992500144231237
003,44,Bar,"[82,76,19,84,33,56,67,33,83,42]","[9,1]",54,55,0.16992500144231237
003,45,Bar,"[72,45,9,100,69,72,74,19,38,15]","[6,9]",14,20,2.6147098441152083
003,46,ComparativeBar,"[90,28,27,93,41,62,64,19,8,55]","[3,8]",9,9,0
003,47,ComparativeBar,"[35,44,7,4,81,81,24,91,17,11]","[0,1]",80,80,0
003,48,StackedBar,"[58,70,10,4,65,92,54,10,82,6]","[5,9]",15,7,3.0223678130284544
003,49,StackedBar,"[47,47,21,61,41,68,83,35,10,93]","[6,1]",65,57,3.0223678130284544
